City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
309,kavieng,-2.5744,150.7967,27.78,81,100,11.24,PG,1728997818
310,kingaroy,-26.5333,151.8333,14.78,95,100,1.38,AU,1728997819
311,skovorodino,53.9833,123.9167,-2.27,44,98,0.97,RU,1728997820
312,sandnessjoen,66.0217,12.6316,6.06,75,75,7.2,NO,1728997821
313,kayangel,8.0823,134.7173,28.61,70,100,1.23,PW,1728997822
314,beyneu,45.3167,55.2,9.84,25,0,1.98,KZ,1728997823
315,midland,31.9974,-102.0779,15.35,54,0,1.54,US,1728997610
316,santa elena de uairen,4.6167,-61.1333,26.8,51,12,0.75,VE,1728997826
317,san patricio,28.017,-97.5169,16.97,72,0,2.6,US,1728997827
318,hirara,24.8,125.2833,27.9,81,15,6.66,JP,1728997828
319,loango,-4.6719,11.8312,26.33,78,98,4.9,CG,1728997829
320,eureka,40.8021,-124.1637,12.01,99,100,1.13,US,1728997537
321,bargaal,11.2864,51.0773,29.37,58,80,2.25,SO,1728997831
322,nova olimpia,-14.7972,-57.2881,32.81,46,94,1.75,BR,1728997832
323,shingu,33.7333,135.9833,21.97,91,93,0.87,JP,1728997833
324,gilgit,35.9221,74.3087,19.77,29,9,1.23,PK,1728997834
325,alofi,-19.0595,-169.9187,21.94,94,40,1.03,NU,1728997705
326,hell-ville,-13.4,48.2667,26.61,74,11,8.25,MG,1728997837
327,amga,60.8953,131.9608,-11.05,96,100,1.37,RU,1728997838
328,scottburgh,-30.2867,30.7532,19.03,56,19,7.16,ZA,1728997839
329,glogow malopolski,50.1512,21.9629,11.99,71,75,3.6,PL,1728997840
330,tomohon,1.3346,124.8392,20.52,92,49,1.14,ID,1728997841
331,irymple,-34.25,142.1667,16.72,70,100,3.87,AU,1728997843
332,porto novo,6.4965,2.6036,30.9,66,99,1.9,BJ,1728997573
333,berezovyy,51.6667,135.7,1.28,67,44,2.84,RU,1728997845
334,kodiak,57.79,-152.4072,6.73,76,40,3.6,US,1728997846
335,banca,46.3,27.8,15.8,46,88,2.78,RO,1728997847
336,neiafu,-18.65,-173.9833,25.38,83,75,5.14,TO,1728997848
337,dunedin,-45.8742,170.5036,7.11,73,0,1.79,NZ,1728997712
338,ghat,24.9647,10.1728,37.13,11,3,2.17,LY,1728997850
339,santana do livramento,-30.8908,-55.5328,19.5,99,100,2.39,BR,1728997578
340,rawson,-43.3002,-65.1023,17.16,45,0,1.54,AR,1728997853
341,kolonia town,6.964,158.206,27.0,89,100,2.06,FM,1728997854
342,sindirgi,39.2413,28.1784,25.77,27,27,5.47,TR,1728997855
343,ciudad del carmen,18.6333,-91.8333,24.02,94,40,0.0,MX,1728997856
344,vallenar,-28.5708,-70.7581,25.45,23,0,1.83,CL,1728997857
345,tauranga,-37.6861,176.1667,13.25,72,100,1.78,NZ,1728997858
346,san antonio de pale,-1.4014,5.6325,26.2,74,31,4.45,GQ,1728997859
347,la paz,-16.5,-68.15,11.99,67,20,1.03,BO,1728997687
348,sosnovo-ozerskoye,52.5249,111.5418,-4.16,62,22,3.79,RU,1728997862
349,olean,42.0776,-78.4297,3.7,100,100,0.0,US,1728997863
350,faya-largeau,17.9257,19.1043,38.51,8,6,5.75,TD,1728997864
351,aulnoye-aymeries,50.2014,3.8384,18.53,84,100,3.99,FR,1728997865
352,hassi messaoud,31.6804,6.0729,35.37,22,11,5.43,DZ,1728997866
353,bridgewater,44.3835,-64.5155,11.46,76,7,6.26,CA,1728997867
354,saynshand,44.8824,110.1163,7.03,42,6,4.52,MN,1728997869
355,dongning,44.0622,131.1207,5.27,58,1,6.18,CN,1728997870
356,nago,26.5881,127.9761,25.99,88,22,1.69,JP,1728997871
357,novo aripuana,-5.1206,-60.3797,35.43,36,93,1.42,BR,1728997872
358,nyurba,63.2842,118.3319,-4.73,94,93,3.28,RU,1728997873
359,impfondo,1.6381,18.0667,24.82,93,100,1.3,CG,1728997874
360,sangmelima,2.9333,11.9833,25.14,78,100,1.78,CM,1728997875
361,aykhal,66.0,111.5,-13.62,95,100,4.41,RU,1728997876
